iter	Passed	Remaining
532	11034	9668
533	11053	9646
534	11075	9626
535	11096	9605
536	11114	9583
537	11136	9563
538	11155	9540
539	11173	9517
540	11193	9497
541	11215	9477
542	11237	9457
543	11263	9441
544	11282	9419
545	11302	9397
546	11321	9375
547	11341	9354
548	11363	9335
549	11384	9314
550	11412	9299
551	11434	9279
552	11457	9261
553	11490	9250
554	11516	9233
555	11537	9213
556	11563	9196
557	11591	9181
558	11615	9163
559	11640	9146
560	11667	9129
561	11688	9109
562	11712	9090
563	11732	9069
564	11762	9056
565	11786	9037
566	11809	9018
567	11841	9006
568	11866	8988
569	11885	8966
570	11906	8945
571	11925	8923
572	11945	8901
573	11963	8878
574	11987	8860
575	12011	8841
576	12036	8824
577	12076	8817
578	12104	8801
579	12123	8779
580	12145	8758
581	12164	8736
582	12185	8715
583	12202	8692
584	12222	8670
585	12243	8649
586	12265	8629
587	12290	8612
588	12312	8591
589	12334	8571
590	12354	8550
591	12386	8536
592	12415	8521
593	12438	8501
594	12465	8484
595	12490	8466
596	12518	8450
597	12544	8432
598	12567	8412
599	12589	8393
600	12614	8375
601	12642	8358
602	12664	8337
603	12695	8323
604	12722	8306
605	12746	8287
606	12772	8269
607	12805	8255
608	12827	8235
609	12848	8214
610	12867	8192
611	12890	8172
612	12909	8150
613	12932	8130
614	12951	8107
615	12974	8087
616	12994	8066
617	13015	8045
618	13035	8023
619	13058	8003
620	13082	7984
621	13105	7964
622	13128	7944
623	13152	7925
624	13177	7906
625	13203	7888
626	13229	7870
627	13252	7850
628	13275	7830
629	13298	7810
630	13320	7789
631	13345	7770
632	13370	7751
633	13395	7732
634	13417	7712
635	13436	7689
636	13456	7668
637	13480	7648
638	13500	7627
639	13521	7605
640	13540	7583
641	13561	7562
642	13582	7541
643	13602	7519
644	13621	7497
645	13642	7475
646	13660	7453
647	13678	7430
648	13699	7409
649	13719	7387
650	13737	7364
651	13759	7343
652	13781	7323
653	13802	7302
654	13825	7282
655	13843	7259
656	13863	7237
657	13881	7215
658	13903	7194
659	13922	7172
660	13943	7151
661	13970	7133
662	13994	7113
663	14017	7093
664	14037	7071
665	14056	7049
666	14076	7027
667	14099	7007
668	14118	6985
669	14138	6963
670	14161	6943
671	14182	6922
672	14207	6902
673	14228	6881
674	14247	6860
675	14266	6837
676	14286	6816
677	14306	6794
678	14322	6771
679	14346	6751
680	14365	6729
681	14387	6708
682	14407	6687
683	14427	6665
684	14446	6643
685	14466	6621
686	14484	6599
687	14502	6576
688	14523	6555
689	14545	6534
690	14562	6512
691	14586	6492
692	14608	6471
693	14626	6448
694	14646	6427
695	14667	6406
696	14686	6384
697	14708	6363
698	14727	6341
699	14748	6320
700	14767	6298
701	14792	6279
702	14811	6257
703	14827	6234
704	14846	6212
705	14868	6191
706	14887	6169
707	14905	6147
708	14925	6125
709	14946	6104
710	14968	6084
711	14989	6063
712	15009	6041
713	15028	6019
714	15048	5998
715	15069	5977
716	15087	5955
717	15106	5933
718	15126	5911
719	15144	5889
720	15163	5867
721	15186	5847
722	15209	5827
723	15226	5804
724	15245	5782
725	15268	5762
726	15285	5740
727	15305	5718
728	15324	5696
729	15343	5675
730	15365	5654
731	15386	5633
732	15413	5614
733	15440	5595
734	15465	5575
735	15495	5558
736	15526	5540
737	15554	5522
738	15572	5499
739	15593	5478
740	15615	5458
741	15636	5437
742	15655	5415
743	15676	5394
744	15696	5372
745	15723	5353
746	15742	5331
747	15763	5310
748	15781	5288
749	15802	5267
750	15820	5245
751	15842	5224
752	15861	5202
753	15881	5181
754	15900	5159
755	15921	5138
756	15939	5116
757	15961	5095
758	15980	5074
759	16005	5054
760	16032	5035
761	16058	5015
762	16079	4994
763	16098	4972
764	16118	4951
765	16140	4930
766	16163	4910
767	16182	4888
768	16202	4866
769	16223	4845
770	16244	4824
771	16267	4804
772	16287	4783
773	16306	4761
774	16326	4740
775	16345	4718
776	16367	4697
777	16387	4676
778	16408	4655
779	16428	4633
780	16447	4612
781	16465	4590
782	16488	4569
783	16508	4548
784	16527	4526
785	16545	4504
786	16563	4482
787	16582	4461
788	16600	4439
789	16626	4419
790	16648	4398
791	16672	4378
792	16691	4357
793	16709	4335
794	16726	4313
795	16746	4291
796	16767	4270
797	16787	4249
798	16806	4227
799	16827	4206
800	16843	4184
801	16864	4163
802	16885	4142
803	16906	4121
804	16923	4099
805	16941	4077
806	16960	4056
807	16980	4034
808	17002	4014
809	17018	3992
810	17042	3971
811	17064	3950
812	17084	3929
813	17103	3908
814	17123	3886
815	17141	3865
816	17160	3843
817	17181	3822
818	17199	3801
819	17216	3779
820	17236	3757
821	17255	3736
822	17285	3717
823	17306	3696
824	17323	3674
825	17345	3653
826	17364	3632
827	17384	3611
828	17402	3589
829	17421	3568
830	17441	3546
831	17466	3526
832	17487	3505
833	17510	3485
834	17529	3463
835	17549	3442
836	17570	3421
837	17596	3401
838	17618	3380
839	17641	3360
840	17661	3339
841	17687	3318
842	17706	3297
843	17724	3276
844	17744	3254
845	17765	3233
846	17784	3212
847	17802	3191
848	17825	3170
849	17845	3149
850	17867	3128
851	17889	3107
852	17915	3087
853	17949	3068
854	17974	3048
855	17996	3027
856	18017	3006
857	18041	2985
858	18062	2964
859	18081	2943
860	18101	2922
861	18122	2901
862	18143	2880
863	18167	2859
864	18184	2838
865	18205	2817
866	18228	2796
867	18247	2774
868	18266	2753
869	18286	2732
870	18306	2711
871	18328	2690
872	18348	2669
873	18368	2648
874	18388	2626
875	18406	2605
876	18424	2584
877	18443	2562
878	18465	2541
879	18484	2520
880	18506	2499
881	18532	2479
882	18555	2458
883	18582	2438
884	18603	2417
885	18622	2396
886	18643	2375
887	18661	2353
888	18683	2332
889	18705	2311
890	18725	2290
891	18747	2269
892	18771	2249
893	18795	2228
894	18820	2207
895	18842	2187
896	18866	2166
897	18890	2145
898	18914	2124
899	18936	2104
900	18957	2083
901	18980	2062
902	19004	2041
903	19025	2020
904	19047	1999
905	19073	1978
906	19097	1958
907	19117	1936
908	19138	1915
909	19162	1895
910	19193	1875
911	19213	1853
912	19233	1832
913	19254	1811
914	19276	1790
915	19300	1769
916	19319	1748
917	19337	1727
918	19361	1706
919	19383	1685
920	19402	1664
921	19422	1643
922	19441	1621
923	19461	1600
924	19481	1579
925	19501	1558
926	19521	1537
927	19543	1516
928	19567	1495
929	19591	1474
930	19609	1453
931	19628	1432
932	19647	1410
933	19668	1389
934	19687	1368
